Group,Sample,Folder_name,fastq_1,fastq_2
MSI1-ADAR-01,MSI-ADAR-01-L1,Sample_MSI1-ADAR-1_IGO_15619_B_4,MSI1-ADAR-1_IGO_15619_B_4_S88_L001_R1_001.fastq.gz,MSI1-ADAR-1_IGO_15619_B_4_S88_L001_R2_001.fastq.gz
MSI1-ADAR-01,MSI-ADAR-01-L2,Sample_MSI1-ADAR-1_IGO_15619_B_4,MSI1-ADAR-1_IGO_15619_B_4_S88_L002_R1_001.fastq.gz,MSI1-ADAR-1_IGO_15619_B_4_S88_L002_R2_001.fastq.gz
MSI1-ADAR-02,MSI-ADAR-02-L1,Sample_MSI1-ADAR-2_IGO_15619_B_5,MSI1-ADAR-2_IGO_15619_B_5_S89_L001_R1_001.fastq.gz,MSI1-ADAR-2_IGO_15619_B_5_S89_L001_R2_001.fastq.gz
MSI1-ADAR-02,MSI-ADAR-02-L2,Sample_MSI1-ADAR-2_IGO_15619_B_5,MSI1-ADAR-2_IGO_15619_B_5_S89_L002_R1_001.fastq.gz,MSI1-ADAR-2_IGO_15619_B_5_S89_L002_R2_001.fastq.gz
MSI1-ADAR-03,MSI-ADAR-03-L1,Sample_MSI1-ADAR-3_IGO_15619_B_6,MSI1-ADAR-3_IGO_15619_B_6_S42_L001_R1_001.fastq.gz,MSI1-ADAR-3_IGO_15619_B_6_S42_L001_R2_001.fastq.gz
MSI1-ADAR-03,MSI-ADAR-03-L2,Sample_MSI1-ADAR-3_IGO_15619_B_6,MSI1-ADAR-3_IGO_15619_B_6_S42_L002_R1_001.fastq.gz,MSI1-ADAR-3_IGO_15619_B_6_S42_L002_R2_001.fastq.gz
MIG-01,MIG-01-L1,Sample_MIG-1_IGO_15619_B_1,MIG-1_IGO_15619_B_1_S86_L001_R1_001.fastq.gz,MIG-1_IGO_15619_B_1_S86_L001_R2_001.fastq.gz
MIG-01,MIG-01-L2,Sample_MIG-1_IGO_15619_B_1,MIG-1_IGO_15619_B_1_S86_L002_R1_001.fastq.gz,MIG-1_IGO_15619_B_1_S86_L002_R2_001.fastq.gz
MIG-02,MIG-02-L1,Sample_MIG-2_IGO_15619_B_2,MIG-2_IGO_15619_B_2_S87_L001_R1_001.fastq.gz,MIG-2_IGO_15619_B_2_S87_L001_R2_001.fastq.gz
MIG-02,MIG-02-L2,Sample_MIG-2_IGO_15619_B_2,MIG-2_IGO_15619_B_2_S87_L002_R1_001.fastq.gz,MIG-2_IGO_15619_B_2_S87_L002_R2_001.fastq.gz
MIG-03,MIG-03-L1,Sample_MIG-3_IGO_15619_B_3,MIG-3_IGO_15619_B_3_S41_L001_R1_001.fastq.gz,MIG-3_IGO_15619_B_3_S41_L001_R2_001.fastq.gz
MIG-03,MIG-03-L2,Sample_MIG-3_IGO_15619_B_3,MIG-3_IGO_15619_B_3_S41_L002_R1_001.fastq.gz,MIG-3_IGO_15619_B_3_S41_L002_R2_001.fastq.gz